date,close,open,high,low,volume,fng_value,fng_classification,change_percent,next_change_percent
2024-05-26,68514.8,69287.2,69494.0,68294.5,24.58,75.0,Greed,-1.11,1.33
2024-05-27,69428.7,68514.6,70638.3,68275.2,49.07,74.0,Greed,1.33,-1.53
2024-05-28,68366.0,69428.3,69560.7,67299.9,71.39,72.0,Greed,-1.53,-1.07
2024-05-29,67635.8,68366.2,68897.6,67143.2,52.13,72.0,Greed,-1.07,1.06
2024-05-30,68354.7,67631.3,69504.7,67138.4,66.84,73.0,Greed,1.06,-1.21
2024-05-31,67530.1,68352.3,69018.2,66676.8,61.51,73.0,Greed,-1.21,0.34
2024-06-01,67760.8,67533.9,67861.0,67449.6,19.01,72.0,Greed,0.34,0.02
2024-06-02,67773.5,67760.8,68447.5,67330.6,30.63,73.0,Greed,0.02,1.53
2024-06-03,68807.8,67763.3,70131.0,67616.8,69.42,73.0,Greed,1.53,2.53
2024-06-04,70549.2,68808.0,71034.2,68564.3,75.69,73.0,Greed,2.53,0.76
2024-06-05,71083.7,70550.9,71744.4,70397.1,67.06,75.0,Greed,0.76,-0.41
2024-06-06,70791.5,71083.6,71616.1,70178.7,49.79,78.0,Extreme Greed,-0.41,-2.04
2024-06-07,69347.9,70793.4,71956.5,68620.7,82.62,77.0,Extreme Greed,-2.04,-0.05
2024-06-08,69310.1,69347.0,69572.1,69222.4,23.03,72.0,Greed,-0.05,0.49
2024-06-09,69650.6,69310.5,69847.8,69136.7,20.99,75.0,Greed,0.49,-0.16
2024-06-10,69538.2,69650.2,70152.5,69259.9,39.12,72.0,Greed,-0.16,-3.19
2024-06-11,67319.8,69537.9,69573.3,66197.8,96.7,74.0,Greed,-3.19,1.4
2024-06-12,68260.1,67320.9,69990.8,66911.5,85.55,72.0,Greed,1.4,-2.18
2024-06-13,66773.1,68260.6,68384.6,66324.3,66.36,70.0,Greed,-2.18,-1.11
2024-06-14,66034.8,66775.2,67347.7,65076.5,65.18,74.0,Greed,-1.11,0.29
2024-06-15,66223.0,66034.1,66446.4,65895.1,24.05,74.0,Greed,0.29,0.68
2024-06-16,66674.7,66223.0,66951.4,66038.1,20.74,71.0,Greed,0.68,-0.26
2024-06-17,66498.8,66672.9,67253.8,65115.4,66.09,71.0,Greed,-0.26,-2.01
2024-06-18,65159.9,66495.7,66571.2,64098.4,93.72,74.0,Greed,-2.01,-0.27
2024-06-19,64980.9,65159.8,65706.4,64705.6,42.96,64.0,Greed,-0.27,-0.19
2024-06-20,64854.3,64982.1,66474.2,64566.7,56.24,60.0,Greed,-0.19,-1.12
2024-06-21,64128.5,64854.3,65054.9,63427.9,60.86,63.0,Greed,-1.12,0.21
2024-06-22,64261.0,64131.9,64523.9,63944.0,17.55,53.0,Neutral,0.21,-1.66
2024-06-23,63196.2,64261.0,64518.9,63195.3,19.94,55.0,Greed,-1.66,-4.59
2024-06-24,60292.7,63201.6,63357.1,58589.9,120.6,51.0,Neutral,-4.59,2.52
2024-06-25,61809.4,60292.0,62266.0,60262.2,77.28,30.0,Fear,2.52,-1.55
2024-06-26,60849.4,61809.9,62469.4,60715.1,54.95,46.0,Fear,-1.55,1.37
2024-06-27,61685.3,60848.3,62351.2,60629.4,48.79,40.0,Fear,1.37,-2.08
2024-06-28,60403.3,61684.6,62175.4,60081.9,58.95,47.0,Neutral,-2.08,0.94
2024-06-29,60973.4,60403.7,61192.8,60382.8,26.56,30.0,Fear,0.94,2.92
2024-06-30,62754.3,60973.1,63006.6,60703.7,37.21,47.0,Neutral,2.92,0.22
2024-07-01,62890.1,62768.8,63842.1,62558.0,59.94,53.0,Neutral,0.22,-1.25
2024-07-02,62103.3,62888.3,63257.0,61797.6,46.52,51.0,Neutral,-1.25,-3.07
2024-07-03,60199.3,62104.9,62263.6,59466.6,73.34,50.0,Neutral,-3.07,-5.27
2024-07-04,57026.3,60201.4,60463.0,56812.7,116.38,44.0,Fear,-5.27,-0.67
2024-07-05,56641.8,57025.7,57471.1,53883.4,175.51,29.0,Fear,-0.67,2.86
2024-07-06,58259.2,56640.0,58462.0,56026.8,46.91,26.0,Fear,2.86,-4.12
